		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/16	1:00 a	4.2	5.2	4.2	88	2.4	0.9	SE	3.22	2.2	SE	4.0	4.1	3.9	1.1	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.590	0.000	20.5	36	4.9	18.9	7.23	 .0740	0.00	1373	1	100.0	60
01/01/16	2:00 a	3.2	4.2	3.1	91	1.8	0.9	E	3.22	3.1	E	2.9	3.1	2.8	-0.1	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.632	0.000	20.2	36	4.7	18.6	7.22	 .0740	0.00	1392	1	100.0	60
01/01/16	3:00 a	2.9	3.2	2.9	93	1.9	0.0	E	0.00	1.8	E	2.9	2.9	2.9	0.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.641	0.000	20.0	36	4.5	18.4	7.21	 .0741	0.00	1366	1	99.9	60
01/01/16	4:00 a	2.6	3.0	2.6	93	1.5	0.4	E	1.61	2.2	E	2.6	2.6	2.6	-0.3	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.657	0.000	19.8	36	4.3	18.2	7.20	 .0741	0.00	1389	1	100.0	60
01/01/16	5:00 a	2.6	2.6	2.4	94	1.7	0.9	SE	3.22	3.6	SE	2.3	2.6	2.3	-0.6	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.655	0.000	19.7	35	3.8	17.9	7.05	 .0742	0.00	1360	1	99.4	60
01/01/16	6:00 a	2.3	2.7	2.3	96	1.8	1.3	S	4.83	3.6	SSE	1.2	2.3	1.2	-1.7	755.6	0.00	0.0	1	0.09	14	0.0	0.00	0.0	0.667	0.000	19.4	35	3.6	17.7	7.05	 .0743	0.00	1371	1	100.0	60
01/01/16	7:00 a	2.6	2.6	2.3	96	2.0	0.9	S	3.22	2.2	SSE	2.3	2.6	2.3	1.7	755.8	0.00	0.0	61	5.25	109	0.0	0.00	0.5	0.655	0.000	19.4	35	3.6	17.7	7.05	 .0743	0.03	1393	1	100.0	60
01/01/16	8:00 a	4.2	4.2	2.6	97	3.7	0.9	ESE	3.22	2.7	ESE	4.0	4.2	4.1	5.9	755.9	0.00	0.0	232	19.95	497	1.5	0.35	3.1	0.590	0.000	20.2	35	4.3	18.6	7.05	 .0741	0.10	1394	1	100.0	60
01/01/16	9:00 a	7.7	7.7	4.2	84	5.2	1.3	WNW	4.83	3.1	WNW	7.3	7.7	7.3	11.4	755.9	0.00	0.0	600	51.61	708	4.4	1.04	5.2	0.442	0.000	21.1	35	5.0	19.3	7.05	 .0739	0.25	1396	1	100.0	60
